year,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_1pctCO2,AS-RCEC_TaiESM1_r1i1p1f1_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_1pctCO2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r2i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r3i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r4i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r5i1p1f2_co2mass_abrupt-4xCO2,CNRM-CERFACS_CNRM-CM6-1_r6i1p1f2_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_1pctCO2,IPSL_IPSL-CM6A-LR_r10i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r11i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r12i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r1i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r2i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r3i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r4i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r5i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r6i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r7i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r8i1p1f1_co2mass_abrupt-4xCO2,IPSL_IPSL-CM6A-LR_r9i1p1f1_co2mass_abrupt-4xCO2,MOHC_UKESM1-0-LL_r1i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r2i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r3i1p1f2_co2mass_1pctCO2,MOHC_UKESM1-0-LL_r4i1p1f2_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1_co2mass_abrupt-4xCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_1pctCO2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM-FV2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2-WACCM_r1i1p1f1_co2mass_abrupt-4xCO2,NCAR_CESM2_r1i1p1f1_co2mass_1pctCO2,NCAR_CESM2_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorCPM1_r1i1p1f1_co2mass_1pctCO2,NCC_NorCPM1_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-LM_r1i1p1f1_co2mass_abrupt-4xCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_1pctCO2,NCC_NorESM2-MM_r1i1p1f1_co2mass_abrupt-4xCO2,NOAA-GFDL_GFDL-CM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_1pctCO2,NOAA-GFDL_GFDL-ESM4_r1i1p1f1_co2mass_abrupt-4xCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_1pctCO2,SNU_SAM0-UNICON_r1i1p1f1_co2mass_abrupt-4xCO2
146,5814322000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9414270000000000.0,9418422000000000.0,9418422000000000.0,8893339700000000.0,9414270000000000.0,8905333000000000.0,6185453000000000.0,,6154890000000000.0,5822155000000000.0,6154890000000000.0,5822155000000000.0,9427491000000000.0,9299416000000000.0,8856151000000000.0,,
147,5814322000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9508412000000000.0,9512429000000000.0,9512430000000000.0,8893339700000000.0,9508412000000000.0,8905333000000000.0,6247307500000000.0,,6216439000000000.0,5822155000000000.0,6216439000000000.0,5822155000000000.0,9521774000000000.0,9401109000000000.0,8849544000000000.0,,
148,5814322000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603492000000000.0,9607645000000000.0,9607645000000000.0,8893339700000000.0,9603492000000000.0,8905333000000000.0,6309781000000000.0,,6278600000000000.0,5822155000000000.0,6278600000000000.0,5822155000000000.0,9617312000000000.0,9490764000000000.0,8860031700000000.0,,
149,5814322000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9699529000000000.0,9703810000000000.0,9703810000000000.0,8893339700000000.0,9699529000000000.0,8905333000000000.0,6372878400000000.0,,6341386600000000.0,5822155000000000.0,6341386600000000.0,5822155000000000.0,9713304000000000.0,9579433000000000.0,8853331500000000.0,,
150,5814322000000000.0,5814322000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9796528000000000.0,9800849000000000.0,9800848000000000.0,8893339700000000.0,9796528000000000.0,8905333000000000.0,6436607000000000.0,,6404803400000000.0,5822155000000000.0,6404803400000000.0,5822155000000000.0,9810488000000000.0,9678754000000000.0,8857979000000000.0,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6500973600000000.0,,,5822155000000000.0,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6565983000000000.0,,,5822155000000000.0,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6631642600000000.0,,,5822155000000000.0,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6697959000000000.0,,,5822155000000000.0,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6764938600000000.0,,,5822155000000000.0,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6832588000000000.0,,,5822155000000000.0,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6900913500000000.0,,,5822155000000000.0,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,6969923000000000.0,,,5822155000000000.0,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7039621600000000.0,,,5822155000000000.0,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7110018000000000.0,,,5822155000000000.0,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7181119000000000.0,,,5822155000000000.0,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7252930000000000.0,,,5822155000000000.0,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7325459700000000.0,,,5822155000000000.0,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,7398714700000000.0,,,5822155000000000.0,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905333000000000.0,,,,5822155000000000.0,,,,,,,
